system:index,B11,B12,B2,B3,B4,B8,MNDWI,NDBI,NDVI,NDWI,label,rand,.geo
0,0.032250002,0.0246,0.05615,0.09505,0.0859,0.051,0.4856148,-0.21272893,-0.26879746,0.31306913,0,0.7033737434626602,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,0.01845,0.0138,0.0278,0.0406,0.04255,0.030949999,0.38277072,-0.204004,-0.19040574,0.18058343,0,0.938264581606741,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,0.1315,0.08435,0.04305,0.0798,0.06625,0.2048,-0.25246865,-0.2189952,0.50549895,-0.4587236,0,0.9852306691988195,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,0.0387,0.02835,0.0515,0.0788,0.0616,0.05085,0.2890853,-0.08874171,-0.10917731,0.20457637,0,0.012895218142638165,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0.0935,0.0516,0.0458,0.0734,0.0516,0.1286,-0.12280702,-0.17494199,0.40775558,-0.2479379,0,0.45922580676201785,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0.02165,0.0151,0.034,0.051700003,0.0516,0.03575,0.43368834,-0.24503714,-0.16183454,0.1742013,0,0.38611755696185635,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,0.0248,0.0193,0.0522,0.0827,0.0778,0.0492,0.5296167,-0.3067729,-0.19692308,0.24531835,0,0.09739362421284314,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,0.02395,0.0193,0.0356,0.06665,0.06,0.0284,0.4537954,-0.07005719,-0.33906147,0.37918416,0,0.6983418315610592,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,0.12155,0.06445,0.0317,0.053499997,0.0453,0.2493,-0.38050765,-0.3332626,0.67479616,-0.6152096,0,0.18615209363296914,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0.0135,0.0127,0.0227,0.0374,0.0273,0.0051,0.38014528,0.3990148,-0.54545456,0.6865672,0,0.17257682263765695,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,0.01895,0.0153,0.02375,0.038850002,0.03985,0.01935,0.33126238,0.010371346,-0.3555387,0.33191735,0,0.6228102079040915,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,0.1891,0.0957,0.0337,0.0708,0.0415,0.417,-0.45624337,-0.36827597,0.81868,-0.70951116,0,0.9729462630708561,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,0.2366,0.15875,0.0606,0.1046,0.1032,0.2587,-0.36771595,-0.03744787,0.41245773,-0.44433537,0,0.9581288642338109,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,0.0267,0.0186,0.0424,0.069,0.0626,0.0487,0.41674688,-0.2843723,-0.12941176,0.17462684,0,0.9786051590054886,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,0.02005,0.0185,0.0371,0.0667,0.0437,0.0137,0.4793774,0.19147941,-0.5128799,0.66079104,0,0.1428835095345835,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,0.016849998,0.01375,0.0244,0.0399,0.0402,0.02235,0.37187254,-0.09191174,-0.25871298,0.25238097,0,0.3378733491661977,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,0.0211,0.018,0.03945,0.0678,0.0506,0.01355,0.4918182,0.20584191,-0.49921182,0.5981345,0,0.08508971357328632,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,0.0175,0.0139,0.02715,0.04045,0.03825,0.0384,0.43397418,-0.3723769,-0.0281124,0.045112386,0,0.06465980623605094,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,0.023,0.0171,0.0327,0.061350003,0.0531,0.01885,0.46269286,0.13149896,-0.42894915,0.498086,0,0.8972057742182633,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,0.01935,0.01685,0.0273,0.04205,0.0448,0.0205,0.35917994,0.031446155,-0.36975312,0.33234987,0,0.5656712954931712,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,0.0214,0.0145,0.0355,0.061350003,0.05605,0.0322,0.48618,-0.2146801,-0.25865403,0.31668165,0,0.4096302638563992,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,0.0187,0.01365,0.0681,0.103300005,0.08395,0.05275,0.672648,-0.44325235,-0.20885825,0.23071563,0,0.861312079863435,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,0.019949999,0.0178,0.0379,0.066599995,0.04195,0.012800001,0.5135057,0.12373136,-0.5406317,0.6598903,0,0.027697644734540616,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,0.0148,0.0126,0.0257,0.0392,0.0319,0.0065,0.43204868,0.28619528,-0.67785233,0.7217391,0,0.3367742943422476,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,0.073750004,0.0436,0.0429,0.0683,0.05375,0.169,-0.060417175,-0.40045998,0.52891123,-0.41722742,0,0.539307163432989,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,0.0878,0.0547,0.0306,0.0479,0.0432,0.1688,-0.27944967,-0.3348234,0.57428217,-0.5607724,0,0.944013266814115,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,0.0174,0.0147,0.0326,0.0553,0.0538,0.02935,0.51382256,-0.18205844,-0.28491142,0.3500812,0,0.36079348750967377,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,0.0172,0.01445,0.02385,0.0394,0.03645,0.0279,0.37584132,-0.23553324,-0.190724,0.15368402,0,0.49423192580977027,"{""type"":""MultiPoint"",""coordinates"":[]}"
